match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
25,U.S.A. vs India,India,Arshdeep Singh,4,0,9,4,2.25,17,0,0,1,0
25,U.S.A. vs India,India,Mohammed Siraj,4,0,25,0,6.25,11,1,1,0,0
25,U.S.A. vs India,India,Jasprit Bumrah,4,0,25,0,6.25,14,1,1,1,0
25,U.S.A. vs India,India,Hardik Pandya,4,1,14,2,3.50,19,1,1,0,0
25,U.S.A. vs India,India,Shivam Dube,1,0,11,0,11.00,3,1,1,0,0
25,U.S.A. vs India,India,Axar Patel,3,0,25,1,8.33,5,0,2,1,0
25,U.S.A. vs India,United States Of America,Saurabh Netravalkar,4,0,18,2,4.50,13,0,1,0,0
25,U.S.A. vs India,United States Of America,Ali Khan,3.2,0,21,1,6.30,8,2,0,1,0
25,U.S.A. vs India,United States Of America,Jasdeep Singh,4,0,24,0,6.00,11,1,1,0,1
25,U.S.A. vs India,United States Of America,Shadley van Schalkwyk,4,0,25,0,6.25,8,1,1,0,0
25,U.S.A. vs India,United States Of America,Corey Anderson,3,0,17,0,5.66,8,0,1,1,0
26,West Indies vs New Zealand,New Zealand,Trent Boult,4,1,16,3,4.00,15,2,0,0,0
26,West Indies vs New Zealand,New Zealand,Tim Southee,4,0,21,2,5.25,14,2,1,0,0
